PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA UTILITARIA,TOTAL GASTOS
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 11-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,RAUL ANGEL OTERO DIAZ,04/04/2021,02/06/2021,16/04/2021 07:52:02 p.m.,ACTIVO,,1648189,,64840,20922.88,,,208800,5216.39,,299779.27
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 25-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,GUADALUPE MERINO TRUJILLO,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,74236,20922.88,191648.88,,,132120.39,55390,474318.15
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 30-CHIMALHUACAN,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MAURICIO PIÑA VALDES,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,7000,20922.88,72500,,,5216.39,288555.8,394195.07
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 16-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,CRISTA AMANDA SPOHN GOTZEL,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,13666.66,20922.88,99000.01,,,283616.39,,417205.94
PREFO-CAM-20/21,FEDERAL,MEXICO,Distrito 10-ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,C,PARTIDO ACCIÓN NACIONAL,PAN,MARTIN ALBERTO GARCIA MARQUEZ,04/04/2021,02/06/2021,05/04/2021 11:33:35 p.m.,ACTIVO,,1648189,,10000,20922.88,272541.19,,,5216.39,159964,468644.46
PREFO-CAM-20/21,FEDERAL,QUINTANA ROO,Distrito 4-CANCUN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,MARIA DEL CARMEN JOAQUIN HERNANDEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,4631.25,,,,164604,,8641.99,177877.24
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 6-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JACQUELINE NAVA MOUETT,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,,,,,,4291.99,4291.99
PREFO-CAM-20/21,FEDERAL,VERACRUZ,Distrito 14-MINATITLAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,FREDY AYALA GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,,,,27945.46,,,27945.46
PREFO-CAM-20/21,FEDERAL,NAYARIT,Distrito 2-TEPIC,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,LEOPOLDO DOMINGUEZ GONZALEZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,,,,,,,16376.47,16376.47
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 4-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,HORTENSIA HERNANDEZ MENDOZA,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,18987.34,,,,,,64853.28,83840.62
PREFO-CAM-20/21,FEDERAL,PUEBLA,Distrito 4-AJALPAN,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,JOSE ARMANDO GARCIA AVENDAÑO,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,82534.79,,33185.8,5800,,,123864.96,245385.55
PREFO-CAM-20/21,FEDERAL,JALISCO,Distrito 12-TLAJOMULCO DE ZUÑIGA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,ANA LAURA CHAVEZ VELARDE,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,2710.92,,99576.69,,,,20668.46,122956.07
PREFO-CAM-20/21,FEDERAL,BAJA CALIFORNIA,Distrito 8-TIJUANA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,IGNACIO ANAYA BARRIGUETE,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,99301.14,,,,,,4291.99,103593.13
PREFO-CAM-20/21,FEDERAL,COLIMA,Distrito 1-COLIMA,DIPUTACION FEDERAL MR,COA,VA POR MEXICO,VA POR MEXICO,RIULT RIVERA GUTIERREZ,04/04/2021,02/06/2021,05/04/2021 11:44:32 p.m.,ACTIVO,,1648189,,26723.6,,205600.99,,54353.28,33000,84698.97,404376.84
