PROCESO,AMBITO,ESTADO ELECCION,SUBNIVEL ENTIDAD,CARGO,TIPO ASOCIACION,SUJETO OBLIGADO,SIGLAS,NOMBRE COMPLETO,FECHA INICIO PROCESO,FECHA FIN PROCESO,FECHA HORA APROBACION,ESTATUS CONTABILIDAD,FECHA HORA CANCELACION,TOPE DE GASTOS,FINANCIEROS,OPERATIVOS DE LA CAMPAÑA,PRODUCCIÓN DE LOS MENSAJES PARA RADIO Y T.V.,PROPAGANDA,"PROPAGANDA EN DIARIOS, REVISTAS Y OTROS MEDIOS IMPRESOS",PROPAGANDA EN VÍA PÚBLICA,PROPAGANDA EXHIBIDA EN PÁGINAS DE INTERNET,PROPAGANDA EXHIBIDA EN SALAS DE CINE,PROPAGANDA UTILITARIA,TOTAL GASTOS
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,COA,SI POR SAN LUIS POTOSI,PAN-PRI-PRD-CONCIENCIA POPULAR,CESAR OCTAVIO PEDROZA GAITAN,05/03/2021,02/06/2021,02/03/2021 11:11:20 a.m.,ACTIVO,,29223864.7,139.2,1591348.59,122799.99,190440.22,137167.68,2142499.35,1160000,,729281.33,6073676.36
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,NUEVA ALIANZA SAN LUIS POTOSÍ,NUEVA ALIANZA SAN LUIS POTOSÍ,FRANCISCO JAVIER RICO AVALOS,05/03/2021,02/06/2021,02/03/2021 12:05:28 p.m.,ACTIVO,,29223864.7,,201273.78,,2788.18,,,,,,204061.96
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,FUERZA POR MÉXICO,FS X MÉXICO,JUAN CARLOS MACHINENA MORALES,05/03/2021,02/06/2021,02/03/2021 12:13:27 p.m.,ACTIVO,,29223864.7,,65000,,15745.08,,63179.38,,,109371.09,253295.55
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,PARTIDO ENCUENTRO SOLIDARIO,PES,ADRIAN ESPER CARDENAS,05/03/2021,02/06/2021,02/03/2021 12:15:18 p.m.,ACTIVO,,29223864.7,,173320.91,24693.4,117698.57,,,,,225426.81,541139.69
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,COA,JUNTOS HAREMOS HISTORIA EN SAN LUIS POTOSI,PVEM-PT,JOSE RICARDO GALLARDO CARDONA,05/03/2021,02/06/2021,02/03/2021 11:25:11 a.m.,ACTIVO,,29223864.7,,1961028.92,431720,1352199.23,98484,2504052.99,1887984.6,,4660885.81,12896355.55
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,ADRIANA MARVELY COSTANZO RANGEL,05/03/2021,02/06/2021,02/03/2021 11:37:22 a.m.,ACTIVO,,29223864.7,,1172155.15,29183.06,364947.98,81606,1028797.04,279096.29,,394058.57,3349844.09
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,MORENA,MORENA,MONICA LILIANA RANGEL MARTINEZ,05/03/2021,02/06/2021,02/03/2021 12:07:42 p.m.,ACTIVO,,29223864.7,,1271762.93,,888933.5,32640,3043187.04,301285.96,,911806.36,6449615.79
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JOSE ARTURO SEGOVIANO GARCIA,05/03/2021,02/06/2021,02/03/2021 12:11:41 p.m.,ACTIVO,,29223864.7,,935924.47,3744.08,658380,,55003,97550.86,,907046.12,2657648.53
PRELO-CAM-20/21,LOCAL,SAN LUIS POTOSI,,GOBERNADOR ESTATAL,C,REDES SOCIALES PROGRESISTAS,RSPPPN,JOSE LUIS ROMERO CALZADA,05/03/2021,02/06/2021,02/03/2021 12:22:22 p.m.,ACTIVO,,29223864.7,,26129.37,9982.12,167232.76,,480762,90045.34,,,774151.59
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,C,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,RICARDO ROBINSON BOURS CASTELO,05/03/2021,02/06/2021,04/03/2021 08:47:10 p.m.,ACTIVO,,85311342.5,346.9,839113.4,237062.96,1942452.51,,188102.57,5646776.57,,284864.68,9138719.59
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,C,FUERZA POR MÉXICO,FS X MÉXICO,MARIA DEL ROSARIO FATIMA ROBLES ROBLES,05/03/2021,02/06/2021,04/03/2021 08:52:11 p.m.,ACTIVO,,85311342.5,,27840,,45414.36,,44829.36,,,387075.44,505159.16
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,CC,MORENA,MORENA,FRANCISCO ALFONSO DURAZO MONTAÑO,05/03/2021,02/06/2021,04/03/2021 09:00:43 p.m.,ACTIVO,,85311342.5,,3256749.21,302760,1157459.41,,39498,4593682.84,,1682942.44,11033091.9
PRELO-CAM-20/21,LOCAL,SONORA,,GOBERNADOR ESTATAL,CC,NUEVA ALIANZA SONORA,NUEVA ALIANZA SONORA,FRANCISCO ALFONSO DURAZO MONTAÑO,05/03/2021,02/06/2021,04/03/2021 09:00:43 p.m.,ACTIVO,,85311342.5,,29206.4,197780,,,,,,210799.03,437785.43
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Municipio 30-HUALAHUISES,PRESIDENTE MUNICIPAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JOEL ALEJANDRO DE LEON AGUIRRE,05/03/2021,02/06/2021,04/03/2021 10:09:24 p.m.,ACTIVO,,112106.24,,12592.47,,19278.78,,,5568,,29570.38,67009.63
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Distrito 6-MONTERREY,DIPUTADO LOCAL MR,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,ROBERTO ALVISO MARQUES,05/03/2021,02/06/2021,04/03/2021 10:16:12 p.m.,ACTIVO,,1858026.96,,40951.17,,61590.96,,,47560,,,150102.13
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Distrito 4-MONTERREY,DIPUTADO LOCAL MR,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,KRISTIAN ANDRES MACIAS FERNANDEZ,05/03/2021,02/06/2021,04/03/2021 10:35:29 p.m.,ACTIVO,,1634196.99,5.8,47660.46,,15919,,,,,,63585.26
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Municipio 10-CARMEN,PRESIDENTE MUNICIPAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,MIGUEL ANGEL GONZALEZ SANDOVAL,05/03/2021,02/06/2021,04/03/2021 10:59:37 p.m.,ACTIVO,,376410.28,,11252.64,,9051.6,,,,,5907.38,26211.62
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Municipio 1-ABASOLO,PRESIDENTE MUNICIPAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JORGE LUIS TAMEZ CANTU,05/03/2021,02/06/2021,04/03/2021 11:03:17 p.m.,ACTIVO,,41045.47,,9309.22,,1664.6,,,,,2321.16,13294.98
PRELO-CAM-20/21,LOCAL,NUEVO LEON,Municipio 28-HIDALGO,PRESIDENTE MUNICIPAL,CI,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,CRISTHIAN OMAR PEREZ ALVAREZ,05/03/2021,02/06/2021,04/03/2021 11:05:35 p.m.,ACTIVO,,197110.71,93.3,14685.86,,35452.8,,,129.23,,27584.88,77946.07
